_word,sense
ДЯДЯ,"<p><b>Дя́дя</b>. Как и слова <i><font color=blue>баба</font></i>, <i><font color=blue>мама</font></i>, <i><font color=blue>папа</font></i>, это относится к детскому словарю и образовано повторением звукосочетания <i>дя</i>.</p>"
ДЯТЕЛ,"<p><b>Дя́тел</b>. В общеславянской форме это слово имело вид dьlbtъ, имеющего ту же основу (хотя и с измененной корневой гласной), что и <i>долбить</i>. Свое название эта птица получила по производимому ею действию — долблению деревьев.</p>"
Е,"<p><b>Е</b>. Шестая буква русск. алфавита, называется «есть», числовое знач. = 5.</p>"
ЕВАНГЕЛИЕ,"<p><b>Е́вангелие</b>. Заимствование из старославянского и восходит к греческому euaggelion, что буквально означает «благовестие, благая весть».</p>"
ЕВРЕЙ,"<p><b>Евре́й</b>. Это слово заимствовано из старославянского, где <i>евреи</i> восходит к греческому ebraios, восходящему в свою очередь к древнееврейскому ibhri, что означает «с той стороны» — так называли пришедших в Палестину из-за реки Евфрат.</p>"
ЕДА,"<p><b>Еда́</b>. Общеславянское слово, образованное от ъdti (<i><font color=blue>есть</font></i>). Отметим несомненное родство с, например, английским eat — «есть».</p>"
ЕДКИЙ,"<p><b>Е́дкий</b>. Это слово, имеющее в современном языке значение «разъедающий» и «резкий, вызывающий раздражение», образовано от существительного <i>ъда</i>; первоначальное значение «съедобный» переосмыслилось в «съедающий» — ведь различные химические (а прилагательное <i>едкий</i> имеет терминологическое значение в химии) вещества — например кислоты — обладают способностью «съедать» другие вещества. См. <i><font color=blue>еда</font></i>.</p>"
ЁЖ,"<p><b>Ёж</b>. Общеславянское слово, восходящее к индоевропейской основе egh — «колоть». Исходное значение — «колющее животное». Отметим родственные слова в других языках: средненемецкое Igel, английское hedge(hog), греческое echinos — все означающие «еж».</p>"
ЕЖЕВИКА,"<p><b>Ежеви́ка</b>. Существительное, родственное слову <i><font color=blue>еж</font></i> (см.), — название дано по сходству с этим животным: у ежевики острые колючки.</p>"
ЕЖЕГОДНЫЙ,"<p><b>Ежего́дный</b>. Это слово представляет собой результат сложения следующих компонентов <i>еже</i> («каждый») и основы <i><font color=blue>год</font></i>, оформленных как прилагательное.</p>"
ЕНОТ,"<p><b>Ено́т</b>. Название этого животного заимствовано из французского, где genette восходит к арабскому слову jarnait, имеющему значение «соболиная кошка».</p>"
ЕПАРХИЯ,"<p><b>Епа́рхия</b>. Это название церковного округа заимствовано из старославянского, а восходит к греческому eparchos, имеющему значение «городской начальник».</p>"
ЕРАЛАШ,"<p><b>Ерала́ш</b>. Кто не знает детский киножурнал с таким названием? Говоря «ералаш», мы имеем в виду путаницу, неразбериху. Именно с таким значением это слово и было заимствовано в середине XIX в. из тюркского.</p>"
ЕРЕПЕНИТЬСЯ,<p><b>Ерепе́ниться</b>. Образовано от диалектального <i>ерепа</i> — «надутый».</p>
ЁРЗАТЬ,<p><b>Ёрзать</b>. Образовано от диалектального <i>ёрзый</i> — «пронырливый».</p>
ЕРМОЛКА,"<p><b>Ермо́лка</b>. Это название круглой маленькой шапочки наподобие тюбетейки, вероятно, восходит к более старому слову <i>емурлук</i> — «одежда от дождя», являющемуся заимствованием из тюркских языков (в турецком jagmurluk образовано от jagmur — «дождь»).</p>"
ЕРОШИТЬ,"<p><b>Еро́шить</b>. Образовано от диалектального <i>ероха</i> — «неряха, непричесанный», развившемуся от <i>ера</i> (см. <i><font color=blue>ерепениться</font></i>).</p>"
ЕРУНДА,"<p><b>Ерунда́</b>. На этом примере можно увидеть, как взаимодействуют между собой разные языки и разные культуры. Латинское gerundium означало существующее в латинском языке грамматическое понятие (разновидность существительного, образованного от глагола). В русских семинариях учащиеся наряду с другими предметами изучали и латынь. Столкнувшись со словом, называющим непонятное им явление, студенты по-своему восприняли его. Первоначально это слово имело вид «герунда», а значило то же, что и сегодня — «бессмыслица», «нечто непонятное». Любопытно, что английская грамматическая категория «герундий» и русское ерунда — слова, восходящие к одному корню.</p>"
ЁРШ,"<p><b>Ёрш</b>. Изначально это слово, называющее в настоящее время рыбу, имело значение — «игла, шип, гвоздь». Рыба названа по наличию у нее колючих плавников.</p>"
ЕСЛИ,"<p><b>Е́сли</b>. Вероятно, заимствовано из польского, где jesli — «если», где это слово является сращением <i>est</i> (форма глагола от bye — «быть») с частицей li: <i>est-li</i>. Русский язык заимствовал это слово в виде <i>есть-ли</i>, а со временем оно трансформировалось до сегодняшнего <i>если</i>.</p>"
ЕСТЕСТВЕННЫЙ,"<p><b>Есте́ственный</b>. Заимствовано из старославянского, где возникло по методу словообразовательной кальки с греческого ousikos.</p>"
ЕСТЬ,"<p><b>Есть</b>. Этот глагол в значении «кушать» имеет индоевропейскую природу (в древнеиндийском atti — «ест», в латинском edo — «ем»); в исходном виде общеславянский глагол имел форму ъdti, постепенно звукосочетание dt изменилось в st. Среди родственных слов современных языков назовем английское eat — «есть» и немецкое essen (с тем же значением). См. также <i><font color=blue>еда</font></i>.</p>"
ЕФРЕЙТОР,"<p><b>Ефре́йтор</b>. В основе этого слова, заимствованного в XVIII в. из немецкого языка (gefreiter), лежит тот же корень, что и, например, в английском слове free (свободный). Это слово, обозначающее одно из низших воинских званий, имело значение «освобожденный» и свидетельствовало о том, что носившие этот чин, в отличие от простых солдат, были освобождены от некоторых наиболее тяжких обязанностей солдатской службы.</p>"
ЕХАТЬ,"<p><b>Е́хать</b>. Общеславянский глагол, образованный от исчезнувшего существительного <i>ъхъ</i> (по типу <i>мах</i> — <i>махать</i>, <i><font color=blue>слух</font></i> — <i>слыхать</i> и т. п.). Этот глагол имеет индоевропейскую природу, о чем свидетельствует древнеиндийское yati — «едет».</p>"
ЕХИДНЫЙ,"<p><b>Ехи́дный</b>. Это слово восходит к греческому echidna — «змея». В старославянских языках это слово уже существовало в значении «зловредный», «хитроумный».</p>"
Ж,"<p><b>Ж</b>. Cедьмая буква русск. алфавита, др.-русск. название — <i>живѣте</i> — 2 л. мн. ч. повел. накл. от <i>жити</i>. Числовое знач. = 7 (только в глаголице).</p>"
ЖАБА,"<p><b>Жа́ба</b>. Общеславянское слово, имеющее соответствия в ряде других языков (в древнепрусском находим gabawo — «жаба»). У этого существительного развилось второе значение — «грудная жаба», то есть сердечное заболевание. По народным поверьям, эту болезнь вызывает жаба.</p>"
ЖАБО,"<p><b>Жабо́</b>. Так называется пышная отделка у воротника из кружев. Естественно, это слово было позаимствовано у законодательницы мод — Франции. Во французском языке исходное значение слова jabot — «птичий зоб», впоследствии — «пышная отделка в районе шеи», поскольку такая деталь платья напоминает раздувшийся птичий зоб.</p>"
ЖАВОРОНОК,"<p><b>Жа́воронок</b>. Это название птицы представляет собой сращение звукоподражательного <i>жа</i> (напоминающего звук, производимый этой птицей) и слова <i>воронъ</i>. Отметим также, что <i>жа</i> развилось из звукоподражательного <i>га</i>, присутствующего, например, в существительном <i><font color=blue>гам</font></i>.</p>"
ЖАДНЫЙ,"<p><b>Жа́дный</b>. Общеславянское слово, восходящее к исчезнувшему <i>жадъ</i> (в диалектах поныне существует существительное жадоба — «жажда, жадность») и родственное существительному <i><font color=blue>жажда</font></i>.</p>"
ЖАЖДА,"<p><b>Жа́жда</b>. Заимствовано из старославянского, восходит к общеславянскому zeda. Болгарское жеда — «жажда» свидетельствует о родстве этого существительного с прилагательным жадный. Возможно также, что оно имеет родство и с глаголом <i><font color=blue>ждать</font></i>.</p>"
ЖАКЕТ,"<p><b>Жаке́т</b>. Это название предмета одежды заимствовано из французского, где jaquette — уменьшительное от jaque — «куртка», восходящего к арабскому schakk с тем же значением.</p>"
ЖАЛЕТЬ,"<p><b>Жале́ть</b>. Общеславянское слово, произведенное от несохранившегося прилагательного <i>жалъ</i> — «вызывающий сострадание».</p>"
ЖАЛО,"<p><b>Жа́ло</b>. Общеславянское слово, образованное от основы <i>gel</i>, к которой восходит литовский глагол geiti — «колоть, жалить».</p>"
ЖАЛОБА,"<p><b>Жа́лоба</b>. Произведено от той же основы, что и глагол <i><font color=blue>жалеть</font></i> (см.), по такому же принципу, как слова <i><font color=blue>зазноба</font></i>, <i>хвороба</i>.</p>"
ЖАЛОВАНИЕ,"<p><b>Жа́лование</b>. Древнерусское слово, образованное от глагола <i>жаловати</i> — «оказывать милость; дарить». Исходное значение — «дар, пожалование» со временем превратилось в «вознаграждение за работу».</p>"
ЖАЛОВАТЬ,"<p><b>Жа́ловать</b>. Общеславянское слово, образованное от исчезнувшего прилагательного <i>жалъ</i> (см. <i><font color=blue>жалеть</font></i>).</p>"
ЖАЛОСТЬ,"<p><b>Жа́лость</b>. Общеславянское слово, образованное от исчезнувшего прилагательного <i>жалъ</i> (см. <i><font color=blue>жалеть</font></i>).</p>"
ЖАНДАРМ,"<p><b>Жанда́рм</b>. Французское gendarme образовалось в результате сращения словосочетания gens d'armes, имевшего значение «вооруженный человек». Кстати, вторая часть слова «жандарм» хорошо знакома нам по слову «армия».</p>"
ЖАНР,"<p><b>Жанр</b>. Это существительное было заимствовано из французского, где genre восходит к латинскому generis — «происхождение; способ, манера».</p>"
ЖАР,"<p><b>Жар</b>. Общеславянское слово, имеющее родственные в ряде других языков (в древнеиндийском haras — «жар»). Общеславянское gerь — того же корня, что и <i><font color=blue>гореть</font></i> (см.), но с изменением корневой гласной и согласной.</p>"
ЖАР-ПТИЦА,"<p><b>Жар-пти́ца</b>. Происхождение этого слова, называющего сказочное существо, не вызывает вопросов; любопытны аналоги русской жар-птицы в родственных славянских языках: в чешском — ptak ohnivak, в словенском — zlata ptic.</p>"
ЖАРГОН,"<p><b>Жарго́н</b>. Это название профессиональной речи или языка улицы заимствовано из французского, где jargon — «испорченный язык».</p>"
ЖАРОВНЯ,"<p><b>Жаро́вня</b>. Видимо, образовано от сохранившегося в диалектах существительного <i>жаровь</i> — «раскаленные угли». См. также <i><font color=blue>жар</font></i>.</p>"
ЖАСМИН,"<p><b>Жасми́н</b>. Заимствование из французского, где jasmin восходит к арабскому jasmin, имеющему то же значение — название цветка.</p>"
ЖВАЧКА,"<p><b>Жва́чка</b>. Образовано от диалектального <i>жвака</i> — «жвачка, комок разжеванной пищи», произведенного от <i>жьвати</i> — «жевать».</p>"
ЖВАЧНЫЙ,<p><b>Жва́чный</b>. Образовано от <i>жвака</i>. См. <i><font color=blue>жвачка</font></i>.</p>
ЖГУТ,"<p><b>Жгут</b>. Вероятно, образовалось из глагольной формы <i>жигут</i> — «жгут»; диалектальный глагол <i>жигать</i> имеет значение «бить чем-либо тонким и гибким», отсюда <i>жигун</i> — «кнут».</p>"
ЖДАТЬ,"<p><b>Ждать</b>. Общеславянский глагол, имеющий соответствия в других языках и восходящий к gьdati Звук «г», перешедший (смягчившийся) в «ж» перед гласной «ь» в слове ждать, сохранился перед гласной «о» в слове <i>годить</i>, восходящем к той же основе. Таким образом, выявляется неожиданное родство слов <i><font color=blue>ждать</font></i>, <i><font color=blue>год</font></i>, <i>годить</i>, <i><font color=blue>погода</font></i>.</p>"
ЖЕЗЛ,"<p><b>Жезл</b>. Общеславянское слово, имеющее родственные в германских языках (в древненемецком kegil — «кол»).</p>"
ЖЕЛАТИН,"<p><b>Желати́н</b>. Заимствование из французского, где gelatine восходит к латинскому gelatus — «замороженный», причастной формы глагола gelare — «замораживать».</p>"
ЖЕЛВАК,"<p><b>Желва́к</b>. Восточнославянское слово, образованное от существительного <i>желва</i> (<i>желы</i>) в значении «шишка». <i>Желы</i> образовано от того же корня, что и <i><font color=blue>железа</font></i> и, видимо, <i><font color=blue>голова</font></i> (см.), восходит к <i>ghel</i> со значением «камень».</p>"
ЖЕЛЕ,"<p><b>Желе́</b>. Заимствование из французского, где gelée — произведено от глагола geler — «замораживать, замерзать», а восходит, как и gélatine (см. <i><font color=blue>желатин</font></i>), к латинскому gelare — «замораживать».</p>"
ЖЕЛЕЗА,"<p><b>Железа́</b>. Общеславянское слово, восходящее к той же основе <i>gel</i>, что и <i><font color=blue>желвак</font></i> (см.); перед звуком «е» происходило смягчение «г» в «ж». В других словах от той же основы, но пошедших другим путем развития, «г» сохранилось, как, например, в <i>глаз</i>.</p>"
ЖЕЛЕЗО,"<p><b>Желе́зо</b>. Общеславянское слово, восходящее к той же основе <i>gel</i>, что и <i><font color=blue>желвак</font></i>, <i><font color=blue>железа</font></i> и т.п. Основа gel когда-то имела значение «камень», а смысловой переход с камня на название металла произошел в силу того, что железо в породе имеет вид камня.</p>"
ЖЕЛТОК,"<p><b>Желто́к</b>. Своему названию центральная часть яйца обязана своим цветом, так же как наружная часть яйца обязана своим названием белому цвету.</p>"
ЖЁЛТЫЙ,"<p><b>Жёлтый</b>. Общеславянское слово, образованное от основы <i>gil</i> (кстати, к этой же основе восходят и такие слова, как <i><font color=blue>зеленый</font></i> и <i><font color=blue>золото</font></i>, образование которых не потребовало суффикса «т»). Обратим внимание, что родственные слова находятся в ряде других языков, например, в английском (yellow) или в немецком (gelb).</p>"
ЖЕЛУДОК,"<p><b>Желу́док</b>. Общеславянское слово, восходящее к основе zelodь, имеющей значение «желудь», поскольку желудок по своей форме напоминает плод дуба.</p>"
ЖЕЛЧЬ,"<p><b>Желчь</b>. Это общеславянское слово, называющее секрет, вырабатываемый клетками печени, возникло под воздействием прилагательного желтый: желчь имеет желтоватый оттенок.</p>"
ЖЕМЧУГ,"<p><b>Же́мчуг</b>. Это слово попало в русский из тюркских языков, где janeu заимствовано из китайского, в котором <i>гончу</i> образовалось путем сложения элементов <i>гон</i> — «настоящий» и <i>чу</i> — «жемчуг».</p>"
ЖЕНА,"<p><b>Жена́</b>. Общеславянское слово индоевропейской природы, когда-то имевшее значение — «женщина» (родственные слова: древнеиндийское janis, греческое gyne и др.).</p>"
ЖЕНИХ,"<p><b>Жени́х</b>. Общеславянское слово, произведенное от глагола <i>женити</i> (современное <i>женить</i>) и имеющее значение «тот, кто женится».</p>"
ЖЕНСКИЙ,"<p><b>Же́нский</b>. Это прилагательное, образованное от слова <i><font color=blue>жена</font></i>, нередко используется в словосочетании <i>женский род</i>, который представляет собой кальку с латинского genus femininus.</p>"
ЖЕНЬШЕНЬ,"<p><b>Женьше́нь</b>. Заимствование из китайского языка, где этот корень жизни назван по своему внешнему сходству с человеком: <i>жень</i> — «человек».</p>"
ЖЕРДЬ,"<p><b>Жердь</b>. Общеславянское слово, восходящее к gьrdь и имеющее тот же корень, что и слова <i><font color=blue>город</font></i>, <i>ограда</i>.</p>"
ЖЕРЕБЕЦ,"<p><b>Жеребе́ц</b>. Общеславянское слово, образованное от исчезнувшего <i>жербъ</i>, восходящего к gerbъ (в древнеиндийском находим garbhas — «плод чрева»). Прилагательное <i>жеребая</i> («беременная») восходит к той же основе, и его смысловая составляющая ближе к исходному древнеиндийскому слову.</p>"
ЖЕРЛИЦА,"<p><b>Жерли́ца</b>. Это название рыболовной снасти для ловли щуки и других крупных рыб образовано от ныне утраченного <i><font color=blue>жерло</font></i>, имевшего значение «удочка, крючок для ловли крупной рыбы». Бытующее среди рыболовов словечко <i>жор</i>, имеющее значение «сильный клев рыбы», восходит к тому же корню, который дал и другие слова  <i>жерло, горло</i>.</p>"
ЖЕРЛО,"<p><b>Жерло́</b>. Это общеславянское слово, ныне имеющее значение «дульное отверстие ствола артиллерийского орудия», образовано от того же корня, что и <i><font color=blue>горло</font></i>, но ввиду особенностей развития с иными согласным и гласным звуками; первоначальный его вид gьrdlo.</p>"
ЖЕРТВА,"<p><b>Же́ртва</b>. Заимствование из старославянского, где было образовано от <i>жръти</i> — «приносить в жертву». Восходит к той основе, что и греческое geras — «почетный дар»: ведь жертва является не чем иным, как подношением, даром божеству. См. также <i><font color=blue>жрец</font></i>.</p>"
ЖЕСТ,"<p><b>Жест</b>. Это существительное заимствовано из французского, где geste восходит к латинскому gestus — «телодвижение».</p>"
ЖЁСТКИЙ,"<p><b>Жёсткий</b>. Заимствование из старославянского, где существовала форма <i>жестый;</i> возможно, родственно немецкому kes — «твердая почва».</p>"
ЖЕСТОКИЙ,"<p><b>Жесто́кий</b>. Заимствование из старославянского, где образовано от <i>жестый</i> — «твердый». Твердость (жесткость) и жестокость — понятия довольно близкие.</p>"
ЖЕСТОКОСЕРДИЕ,"<p><b>Жестокосе́рдие</b>. Образовано по методу кальки с греческого sklerokardia (где skler дало <i>жесток</i>, o дало <i>о</i>, kard дало <i>серд</i>, ia дало <i>ие</i>).</p>"
ЖЕСТЬ,"<p><b>Жесть</b>. Видимо, заимствовано из тюркских (где <i>жес</i> — «жесть»). Переоформилось, по всей видимости, под влиянием русского слова <i>жесть</i> — «мерзлая почва, твердая земля», имеющего ту же основу, что и <i><font color=blue>жесткий</font></i> (<i>жестый</i>). См. <i><font color=blue>жесткий</font></i>.</p>"
ЖЕТОН,"<p><b>Жето́н</b>. Это слово заимствовано из французского, где образовано от глагола jeter — «бросать», восходящего к латинскому jactare с тем же значением.</p>"
ЖИВОЙ,"<p><b>Живо́й</b>. Это общеславянское слово в силу своей индоевропейской природы имеет родственные во многих европейских языках (в латинском vivus — «жизнь», в греческом bios — в том же значении). Произведено от того же корня, что и <i><font color=blue>жить</font></i> (см.).</p>"
ЖИВОПИСЬ,<p><b>Жи́вопись</b>. Это слово образовано по методу кальки с греческого zographia.</p>
ЖИВОТ,"<p><b>Живо́т</b> (жизнь). Исходное значение этого общеславянского слова индоевропейской природы — «жизнь» (устойчивое сочетание «не щадя живота своего» использует слово живот в этом первичном его значении). Образовано оно от основы givo, что и <i><font color=blue>жить</font></i>, <i><font color=blue>живой</font></i>.</p><p><b>Живо́т</b> (часть тела). Это слово в значении «часть тела» возникло в результате смыслового переноса из существительного <i>живот</i> в значении «жизнь» (см.).</p>"
ЖИВОТНОЕ,"<p><b>Живо́тное</b>. Заимствование из старославянского, где <i>животьно</i> произведено от <i><font color=blue>живот</font></i> — «жизнь» (см.); таким образом, исходное значение этого слова — «живое существо».</p>"
ЖИДКИЙ,"<p><b>Жи́дкий</b>. Общеславянское слово, восходящее к глаголу <i>жити</i> (giti) — «бодрствовать, двигаться». В некоторых диалектах это значение глагола <i><font color=blue>жить</font></i> сохранилось до настоящего времени.</p>"
ЖИЖА,"<p><b>Жи́жа</b>. Общеславянское слово, образованное от той же основы, что и <i><font color=blue>жидкий</font></i>.</p>"
ЖИЗНЕОПИСАНИЕ,"<p><b>Жизнеописа́ние</b>. Слово образовано по методу кальки с греческого, где в существительном biographia: bio — «жизнь», graphia — «описание».</p>"
ЖИЛА,"<p><b>Жи́ла</b>. Общеславянское слово, восходящее к той же основе, что и глагол <i>жити</i> (giti) в значении «двигаться». Исходное значение этого существительного — «расположенное под землей русло, по которому течет родник», затем произошло переосмысление — «кровеносный сосуд», а впоследствии — «сухожилие, нерв». Родственные слова: <i><font color=blue>жить</font></i>, <i><font color=blue>жидкий</font></i>.</p>"
ЖИЛЕТ,"<p><b>Жиле́т</b>. Заимствование из французского, где gillet было произведено от имени шута Gilie, носившего такой предмет одежды. Об оправданности подобных заимствований писал еще Пушкин: «... ведь панталоны, фрак, жилет, — всех этих слов на русском нет...»</p>"
ЖИЛИЩЕ,"<p><b>Жили́ще</b>. Заимствование из старославянского, где было образовано от <i>жило</i> — «дом» (еще встречается в диалектах), в свою очередь образованного от глагола <i>жити</i>.</p>"
ЖИМОЛОСТЬ,"<p><b>Жи́молость</b>. Согласно одной из гипотез, первоначально это слово имело вид <i>зимолист</i>. Из этого вытекает, что значение слова <i>жимолость </i> — «растение, сохраняющее листья зимой».</p>"
ЖИР,"<p><b>Жир</b>. Общеславянское слово, восходящее к той же основе, что и глагол <i>жити</i> в значении «кормиться». Исходное значение существительного <i>жир</i> — «пища». Родственные слова: <i><font color=blue>жидкий</font></i>, <i><font color=blue>жила</font></i>, <i><font color=blue>жить</font></i>.</p>"
ЖИРАФ,"<p><b>Жира́ф</b>. Заимствование из французского, где girafe восходит к арабскому zarafa.</p>"
ЖИТЬ,"<p><b>Жить</b>. Общеславянский глагол индоевропейской природы (giti). См. также <i><font color=blue>жилище</font></i>, <i><font color=blue>жир</font></i>, <i><font color=blue>жидкий</font></i> и др.</p>"
ЖМОТ,"<p><b>Жмот</b>. Образовано от диалектального глагола <i>жмать</i>, имеющего значение «жать».</p>"
ЖМУРИТЬ,"<p><b>Жму́рить</b>. Общеславянское слово, образованное от исчезнувшего <i>мьжюра</i>, в значении «мгла» и имевшее ранее форму <i>мьжюрити</i>. Существительное <i>мьжюра</i> восходит к той же основе, что и слова <i>мгла</i>, <i>мгновение</i>, <i>смежить</i> (веки).</p>"
ЖМЫХ,"<p><b>Жмых</b>. Это слово, называющее остатки семян растений после выжимки, образовано от глагола <i>жмыхать</i>, в свою очередь произведенного от диалектального <i>жмать</i> — «жать». См. также <i><font color=blue>жмот</font></i>.</p>"
ЖОКЕЙ,"<p><b>Жоке́й</b>. Заимствование из французского, в котором существительное jockey в свою очередь было заимствовано из английского, где jockey возникло от имени собственного Jockey, являющегося уменьшительным от распространенного в Англии имени Jock (Jack). Jockey, таким образом, это название наездника, наподобие принятого когда-то в России названия извозчика — <i>ванька</i>.</p>"
ЖОНГЛЁР,"<p><b>Жонглёр</b>. Заимствование из француского, где jongleur («жонглер») восходит к латинскому joculator — «шутник», производного от глагола joculari — «шутить, забавлять».</p>"
ЖРАТЬ,"<p><b>Жрать</b>. Этот грубоватый глагол имеет индоевропйскую природу. Современная форма образовалась от древнерусского <i>жьрати</i>, имеющего тот же корень, что и существительное <i><font color=""blue"">горло</font></i>, но с измененной корневой гласной и заменой звука н г"" на «ж».</p>"
ЖРЕБИЙ,"<p><b>Жре́бий</b>. Заимствование из старославянского, где было образовано от общеслав. zerb — «часть, доля, кусок». По такому же пути развивалось и слово <i>счастье</i>.</p>"
ЖРЕЦ,"<p><b>Жрец</b>. Восходит к тому же корню, что и существительное <i><font color=blue>жертва</font></i> — глаголу <i>жрьти</i>. <i>Жрец</i> буквально означает «приносящий в жертву».</p>"
ЖУЖЕЛИЦА,"<p><b>Жу́желица</b>. Это название насекомого является общеславянским словом, восходящим к звукоподражательному <i>жужь</i> или <i>жужа</i>. Слова из того же ряда: <i><font color=blue>зуд</font></i>, <i><font color=blue>гудеть</font></i>, <i><font color=blue>жук</font></i>.</p>"
ЖУК,"<p><b>Жук</b>. Общеславянское слово, образованное от звукоподражательного <i>жу</i>.</p>"
ЖУЛИК,"<p><b>Жу́лик</b>. Это слово образовано от существительного <i>жуль</i> — «плут, мошенник», родственного диалектальному глаголу <i>жулить</i> (<i>жилить</i>) — «присваивать чужое».</p>"
ЖУПЕЛ,"<p><b>Жу́пел</b>. Это слово, заимствованное из старославянского и ныне означающее «нечто внушающее страх, отвращение», раньше имело значение «горящая сера или смола». В старославянский период это слово было взято из германских языков (где находим swebal в древненемецком) и родственно латинскому sulpur (вспомним, кстати, и современное английское sulphur — «сера»). Восходит слово жупел к тому же корню, что и немецкое schwellen — «тлеть», ставшему основой целого ряда слов, в частности <i><font color=blue>солнце</font></i> (см.).</p>"
ЖУРАВЛЬ,"<p><b>Жура́вль</b>. Современная форма сменила общеславянскую <i>жеравъ,</i> восходящую к той же основе, что и греческое geranos, немецкое Kranich, английское crane и т.п. (все слова называют ту же птицу). В результате переосмысления по внешнему признаку образовалось второе значение — «устройство для подъема тяжестей». Такие устройства нередко строят на деревенских колодцах, а напоминают они длинную журавлиную шею. К той же основе восходит и современное русское <i>кран</i> в значении «кран подъемный».</p>"
ЖУРНАЛ,"<p><b>Журна́л</b>. Из французского (papier) journal — (газета) ежедневная, именно таким и было первоначальное значение этого слова. Французское существительное jour («свет, день») присутствует во многих «обрусевших» словах — <i><font color=blue>абажур</font></i>, <i><font color=blue>ажур</font></i>, <i><font color=blue>дежурный</font></i>, <i><font color=blue>тужурка</font></i>.</p>"
ЖУРЧАТЬ,<p><b>Журча́ть</b>. Этот глагол образован от звукоподражательного <i>журчь</i>.</p>
ЖУТКИЙ,"<p><b>Жу́ткий</b>. Это слово, попавшее в литературный язык из диалектального, восходит к <i>жуда</i> — «ужас, страх».</p>"
ЖУТЬ,"<p><b>Жуть</b>. Восходит к той же основе, что и <i><font color=blue>жуткий</font></i> (см.).</p>"
ЖУЧИТЬ,"<p><b>Жу́чить</b>. Это слово, попавшее в литературный язык из диалектального, образовано от существительного <i><font color=blue>жук</font></i> в значении «шум, брань» (откуда <i>жукать</i> — «кричать»).</p>"
ЖУЧКА,"<p><b>Жу́чка</b>. Это название дворовой собаки прежде имело форму <i>жучко</i> (как и другие названия этого типа <i>гнедко</i>, <i>серко</i>, <i>сивко</i>) и обозначало лишь собаку черной масти: по признаку цвета собака ассоциировалась с жуком — черная, как жук.</p>"
ЖЮРИ,"<p><b>Жюри́</b>. Это название группы специалистов, выносящих квалифицированное мнение на соревнованиях, конкурсах и т.п., было заимствовано из французского (jury), который в свою очередь заимствовал это слово в английском. Восходит оно к латинскому jurare — «давать клятву».</p>"
З,"<p><b>З</b>. Девятая буква др.-русск. алфавита, называется <i>земля́</i>; числовое знач. = 7. Позднее <i>з</i> возникло частично из более древнего d͡z, которое обозначалось в ряде ст.-слав. памятников кириллического письма через <b>ѕ</b> (<i>зело́</i>) — восьмая буква с числовым знач. = 6; см. Срезн. I, 891.</p>"
ЗА,<p><b>За</b>. Общеславянское слово с первоначальным значением «позади».</p>
ЗАБВЕНИЕ,"<p><b>Забве́ние</b>. Заимствовано из старославянского языка, где образовано от причастия <i>забъвенъ</i>, произведенного от глагола <i>забыти</i>.</p>"
ЗАБИЯКА,"<p><b>Забия́ка</b>. Заимствование из польского, где существительное zabijaka образовано от глагола zabijac — «убивать». Укажем на связь с русскими словами: забить, убить и т.д.</p>"
ЗАБЛУДИТЬСЯ,"<p><b>Заблуди́ться</b>. Представляет собой возвратную форму глагола <i>заблудить</i> того же значения, образованного с помощью приставки от <i>блудить</i> — «блуждать, плутать», имеющего основу <i>блуд</i>.</p>"
ЗАБЛУЖДАТЬСЯ,"<p><b>Заблужда́ться</b>. Представляет собой возвратную форму глагола <i>заблуждать</i> (см. <i><font color=blue>заблудиться</font></i>), образованного с помощью приставки от старославянского <i>блуждати</i> — «ошибаться».</p>"
ЗАБОР,"<p><b>Забо́р</b>. Образовано от zaborti (borti), к которому восходит глагол <i>бороть(ся)</i>. Исходное значение слова <i><font color=blue>забор</font></i>, таким образом, — «то, что защищает, ограждает». По другой версии восходит к той же основе, что глаголы <i>брать</i>, <i>беру</i>.</p>"
ЗАБОТА,"<p><b>Забо́та</b>. Древнерусское образование от глагола <i>зобатися</i>. Написание <i>забота</i> возникло в связи с закреплением аканья на письме. Глагол <i>зобатися</i> образован от существительного <i>зобь</i>, имеющего значение «пища, еда».</p>"
